epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.755,1.3044,2.45853,1.4031,0.805,0.73951,0.82047,0.56734,0.94052,49.713,1.11815,0.00331731,0.00331731,0.00331731
2,244.192,1.24756,1.49409,1.31723,0.72074,0.63613,0.6824,0.443,1.07391,35.074,1.22585,0.00651776,0.00651776,0.00651776
3,300.67,1.31742,1.43256,1.35449,0.41623,0.25699,0.27244,0.15335,1.42567,136.503,1.53118,0.00958501,0.00958501,0.00958501
4,355.908,1.36262,1.3761,1.39682,0.79475,0.51154,0.61417,0.39145,1.15433,60.6107,1.31596,0.0094006,0.0094006,0.0094006
5,412.035,1.32561,1.2297,1.36662,0.65301,0.48914,0.54034,0.32602,1.1463,77.2413,1.31197,0.0092008,0.0092008,0.0092008
6,467.038,1.27994,1.1313,1.33871,0.78643,0.68941,0.77278,0.51253,1.03986,15.2348,1.20397,0.009001,0.009001,0.009001
7,522.626,1.24963,1.06482,1.32021,0.77162,0.63645,0.73558,0.45509,1.03076,54.4625,1.19802,0.0088012,0.0088012,0.0088012
8,577.3,1.23201,1.0225,1.3055,0.85734,0.73584,0.83811,0.56282,1.01304,10.5685,1.15272,0.0086014,0.0086014,0.0086014
9,631.794,1.21819,0.99416,1.29499,0.88812,0.7683,0.88948,0.60849,0.96279,9.11014,1.11684,0.0084016,0.0084016,0.0084016
10,686.824,1.19765,0.95618,1.27914,0.87881,0.80689,0.89276,0.62287,0.9454,16.633,1.10473,0.0082018,0.0082018,0.0082018
11,741.71,1.187,0.93565,1.27332,0.89565,0.76652,0.89292,0.62044,0.94135,28.4828,1.11169,0.008002,0.008002,0.008002
12,796.968,1.17951,0.92322,1.2638,0.91069,0.82739,0.89772,0.63346,0.9354,7.00151,1.10876,0.0078022,0.0078022,0.0078022
13,851.865,1.16938,0.90914,1.26238,0.93299,0.85079,0.92935,0.67354,0.89123,3.06398,1.05233,0.0076024,0.0076024,0.0076024
