epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.41,1.56373,2.01992,1.55952,0.91117,0.8411,0.91711,0.56546,1.1587,13.6254,1.16785,0.00199038,0.00199038,0.00199038
2,266.478,1.32788,0.97145,1.30866,0.8979,0.85228,0.91712,0.59708,1.12548,6.60929,1.10873,0.00398885,0.00398885,0.00398885
3,334.829,1.33509,0.98906,1.31029,0.84912,0.83014,0.8943,0.57527,1.08346,20.5871,1.13192,0.00598116,0.00598116,0.00598116
4,403.431,1.37735,1.08779,1.3408,0.80002,0.71676,0.79147,0.45799,1.19971,89.439,1.27877,0.00796271,0.00796271,0.00796271
5,471.761,1.45785,1.25924,1.4085,0.62894,0.32939,0.35865,0.18304,1.48033,78.3534,1.57568,0.00992892,0.00992892,0.00992892
6,539.478,1.49174,1.31782,1.44675,0.62239,0.42225,0.4887,0.28133,1.27039,108.969,1.3634,0.00990397,0.00990397,0.00990397
7,607.332,1.45447,1.25047,1.42308,0.78533,0.64224,0.7268,0.45166,1.14119,20.2296,1.2381,0.00986192,0.00986192,0.00986192
8,675.235,1.41914,1.18208,1.40116,0.8126,0.73186,0.803,0.4832,1.17185,11.5603,1.22883,0.00981237,0.00981237,0.00981237
9,743.064,1.39777,1.14072,1.38785,0.8081,0.74205,0.82909,0.53127,1.06425,10.3876,1.17407,0.0097554,0.0097554,0.0097554
10,810.782,1.37172,1.10953,1.37489,0.88043,0.82602,0.89907,0.61208,1.01709,9.11946,1.13379,0.00969111,0.00969111,0.00969111
11,878.743,1.34859,1.07302,1.35874,0.8577,0.82499,0.88995,0.60528,0.9812,10.0647,1.12356,0.00961959,0.00961959,0.00961959
12,946.438,1.33473,1.04817,1.3501,0.88845,0.85471,0.90528,0.61054,1.0199,15.3166,1.14405,0.00954095,0.00954095,0.00954095
13,1014.06,1.32321,1.02549,1.34786,0.87716,0.81789,0.88071,0.60923,0.96191,10.2155,1.10467,0.00945531,0.00945531,0.00945531
14,1081.64,1.30861,1.01501,1.34067,0.90833,0.84735,0.91215,0.6302,0.98213,19.8474,1.10318,0.0093628,0.0093628,0.0093628
15,1149.39,1.29872,0.99392,1.32378,0.92588,0.87553,0.94289,0.66576,0.96646,5.98477,1.08831,0.00926357,0.00926357,0.00926357
16,1217.25,1.28163,0.95867,1.31083,0.93667,0.89499,0.9465,0.66951,0.93538,5.79435,1.07406,0.00915777,0.00915777,0.00915777
17,1284.9,1.28066,0.95353,1.30382,0.94404,0.8722,0.93646,0.67359,0.91681,7.91469,1.06091,0.00904556,0.00904556,0.00904556
18,1352.39,1.26561,0.93263,1.29948,0.93348,0.86956,0.93049,0.65875,0.92784,7.63045,1.0703,0.00892712,0.00892712,0.00892712
19,1420.04,1.25675,0.92827,1.29431,0.93304,0.90215,0.949,0.67379,0.92433,7.05817,1.06575,0.00880263,0.00880263,0.00880263
20,1487.85,1.24466,0.90624,1.28468,0.92446,0.88534,0.94182,0.67465,0.90978,6.34932,1.05188,0.00867228,0.00867228,0.00867228
21,1555.78,1.24759,0.91042,1.28122,0.93713,0.88171,0.94635,0.67327,0.91416,5.97008,1.04514,0.00853627,0.00853627,0.00853627
22,1623.5,1.23965,0.89757,1.28005,0.95238,0.89207,0.95557,0.69049,0.90981,5.24383,1.04829,0.00839481,0.00839481,0.00839481
23,1691.24,1.22634,0.88759,1.27321,0.93021,0.89472,0.95033,0.68947,0.90249,8.22095,1.0403,0.00824812,0.00824812,0.00824812
24,1759.16,1.22657,0.87722,1.2715,0.95422,0.89068,0.95118,0.69648,0.9007,10.5398,1.04356,0.00809642,0.00809642,0.00809642
25,1826.95,1.20785,0.86165,1.26209,0.94714,0.90936,0.95717,0.71284,0.87938,4.91583,1.02638,0.00793996,0.00793996,0.00793996
26,1894.62,1.21778,0.86297,1.26573,0.95942,0.91056,0.96185,0.71495,0.87175,3.80412,1.01372,0.00777896,0.00777896,0.00777896
27,1962.42,1.20384,0.85035,1.25813,0.95562,0.90479,0.96159,0.71366,0.86782,8.38428,1.01352,0.00761369,0.00761369,0.00761369
